#Word 1	Word 2	Human (mean)
사랑	섹스	6.77
호랑이	고양이	7.35
호랑이	호랑이	10.00
책	종이	7.46
컴퓨터	키보드	7.62
컴퓨터	인터넷	7.58
비행기	자동차	5.77
기차	자동차	6.31
전화기	의사소통	7.50
텔레비전	라디오	6.77
미디어	라디오	7.42
약물	남용	6.85
빵	버터	6.19
오이	감자	5.92
의사	간호사	7.00
교수	의사	6.62
학생	교수	6.81
영리한	학생	4.62
영리한	멍청한	5.81
회사	주식	7.08
주식	시장	8.08
주식	전화기	1.62
재고품	저장장치	1.31
재고품	재규어	0.92
주식	달걀	1.81
생식력	달걀	6.69
가축	생명	3.73
재고품	삶	0.92
책	도서관	7.46
은행	돈	8.12
나무	숲	7.73
돈	현금	9.15
교수	오이	0.31
왕	배추	0.23
왕	여왕	8.58
왕	장군	5.92
주교	목사	6.69
예루살렘	이스라엘	8.46
예루살렘	팔레스타인	7.65
성스러운	섹스	1.62
성관계	섹스	9.44
마라도나	미식축구	8.62
미식축구	축구	9.03
미식축구	농구	6.81
미식축구	테니스	6.63
테니스	라켓	7.56
안중근	평화	6.73
안중근	테러	7.65
안중근	싸이	2.50
법	변호사	8.38
영화	스타	7.38
영화	팝콘	6.19
영화	비평	6.73
영화	영화관	7.92
물리학	양성자	8.12
물리학	화학	7.35
우주	화학	4.88
알콜	화학	5.54
보드카	진	8.46
보드카	브랜디	8.13
음료	자동차	3.04
음료	귀	1.31
마시다	입	5.96
마시다	먹다	6.87
아기	엄마	7.85
마시다	엄마	2.65
자동차	차량	8.94
원석	보석	8.96
여행	여정	9.29
소년	사내	8.83
해안	해변	9.10
수용소	정신병원	8.87
마술사	마법사	9.02
한낮	정오	9.29
보일러	난로	8.79
음식	과일	7.52
새	수탉	7.10
새	두루미	7.38
도구	구현하다	6.46
형제	수도승	6.27
두루미	구현하다	2.69
사내	형제	4.46
여정	자동차	5.85
수도승	신탁	5.00
묘지	산림	2.08
음식	수탉	4.42
해안	언덕	4.38
숲	무덤	1.85
해변	산림	3.08
수도승	노예	0.92
해안	숲	3.15
사내	마법사	0.92
화음	미소	0.54
유리잔	마술사	2.08
정오	끈	0.54
수탉	여행	0.62
돈	달러	8.42
돈	현금	9.08
돈	화폐	9.04
돈	부	8.27
돈	재산	7.57
돈	소유물	7.29
돈	은행	8.50
돈	예금	7.73
돈	출금	6.88
돈	세탁	5.65
돈	조작	3.31
호랑이	재규어	8.00
호랑이	고양이과	8.00
호랑이	육식동물	7.08
호랑이	포유류	6.85
호랑이	짐승	7.00
호랑이	유기체	4.77
호랑이	동물	5.62
호랑이	동물원	5.87
심리학	정신과	8.08
심리학	불안	7.00
심리학	공포	6.85
심리학	우울	7.42
심리학	클리닉	6.58
심리학	의사	6.42
심리학	프로이드	8.21
심리학	마음	7.69
심리학	건강	7.23
심리학	과학	6.71
심리학	학문	5.58
심리학	인지	7.48
행성	별	8.45
행성	별자리	8.06
행성	보름달	8.08
행성	태양	8.02
행성	은하계	8.11
행성	우주	7.92
행성	우주인	7.94
전례	예시	5.85
전례	정보	3.85
전례	인지	2.81
선례	법	6.65
선례	수집품	2.50
선례	집단	1.77
선례	선행사건	6.04
컵	커피	6.58
컵	식기	6.85
컵	기사	2.40
컵	공예품	2.92
컵	물체	3.69
컵	개체	2.15
컵	음료	7.25
컵	음식	5.00
컵	물질	1.92
컵	액체	5.90
재규어	고양이	7.42
재규어	자동차	7.27
에너지	비서	1.81
비서	국회위원	5.06
에너지	연구실	5.09
컴퓨터	연구실	6.78
무기	비밀	6.06
국정원	지문	6.94
국정원	수사	8.31
수사	노력	4.59
화성	물	2.94
화성	과학자	5.63
뉴스	보도	8.16
협곡	지형	7.53
이미지	표면	4.56
발견	우주	6.34
물	누수	6.56
서명	휴정	2.38
수요일	뉴스	2.22
마일	킬로미터	8.66
컴퓨터	뉴스	4.47
영토	표면	5.34
대기권	지형	3.69
대통령	메달	3.00
전쟁	군대	8.13
기록	숫자	6.31
피부	눈	6.22
일본어	영어	6.50
영화관	역사	3.91
자원봉사자	좌우명	2.56
편견	인식	3.00
장식	용기	5.63
세기	연도	7.59
세기	민족	3.16
지연되다	인종주의	1.19
지연되다	뉴스	3.31
외교관	정당	6.63
평화	계획	4.75
소수자	평화	3.69
시도	평화	4.25
정부	위기	6.56
배치	출발	4.25
배치	후퇴	5.88
에너지	위기	5.94
발표	뉴스	7.56
발표	노력	2.75
뇌졸중	병원	7.03
장애	죽음	5.47
피해자	비상사태	6.47
치료	회복	7.91
저널	협회	4.97
의사	직원	5.00
의사	책임	5.19
책임	보험	7.03
학교	센터	3.44
이유	고혈압	2.31
이유	기준	5.91
백	퍼센트	7.38
연세대	고려대	8.13
병원	인프라	4.63
죽음	줄	5.25
죽음	수감자	5.03
변호사	증거	6.69
삶	죽음	7.88
삶	용어	4.50
단어	유사도	4.75
이사회	추천	4.47
도지사	인터뷰	3.25
석유수출기구	국가	5.63
평화	대기권	3.69
평화	보험	2.94
영토	킬로미터	5.28
여행	활동	5.00
경쟁	가격	6.44
소비자	확신	4.13
소비자	에너지	4.75
문제	공항	2.38
자동차	항공	4.94
신용	카드	8.06
신용	정보	5.31
호텔	예약	8.03
식료품	돈	5.94
등록	준비	6.00
준비	숙박	5.41
월	호텔	1.81
유형	종류	8.97
도착	호텔	6.00
침대	옷장	6.72
옷장	옷	8.00
상황	결론	4.81
상황	고립	3.88
중도	흥미	5.16
방향	조합	2.25
길거리	장소	6.44
길거리	대로	8.88
길거리	골목	6.88
길거리	아이들	4.94
목록	인접성	2.56
목록	범주	6.38
휴대	전화	7.81
생산	하이킹	1.75
기준	지표	4.25
미디어	거래	3.88
미디어	이득	2.88
배당금	지불	7.63
배당금	산출	6.48
산출	계산	8.44
화폐	시장	7.50
석유수출기구	석유	8.59
석유	재고품	6.34
발표	생산	3.38
발표	경고	6.00
이익	경고	3.88
이익	손실	7.63
달러	엔	7.78
달러	불	9.22
달러	이익	7.38
달러	손실	6.09
컴퓨터	소프트웨어	8.50
네트워크	하드웨어	8.31
전화	장비	7.13
장비	제작자	5.91
사치품	자동차	6.47
다섯	월	3.38
보도	이득	3.63
투자자	소득	7.13
액체	물	7.89
야구	계절	5.97
게임	승리	7.03
게임	팀	7.69
마라톤	달리기	7.47
게임	시리즈	6.19
게임	패배	6.97
일곱	시리즈	3.56
해산물	바다	7.47
해산물	음식	8.34
해산물	바닷가재	8.70
바닷가재	음식	7.81
바닷가재	와인	5.70
음식	준비	6.22
비디오	보관소	6.34
시작하다	연도	4.06
시작하다	경기	4.47
게임	라운드	5.97
권투	라운드	7.61
챔피언십	토너먼트	8.36
싸움	패배	7.41
선	보험	2.69
낮	여름	3.94
여름	가뭄	7.16
여름	자연	5.63
낮	새벽	7.53
자연	환경	8.31
환경	생태학	8.81
자연	남자	6.25
남자	여자	8.30
남자	도지사	5.25
살인	과실치사	8.53
막장	드라마	7.94
오페라	공연	6.88
삶	교훈	5.94
초점	삶	4.06
생산	승무원	6.25
텔레비전	영화	7.72
애인	언쟁	6.19
시청자	연속극	2.97
가능성	소녀	1.94
인구	개발	3.75
도덕	중요성	3.31
도덕	결혼	3.69
멕시코	브라질	7.44
성별	평등	6.41
변화	태도	5.44
가족	계획	6.25
오페라	산업	2.63
설탕	접근	0.88
연습	기관	3.19
정부	문화	4.69
문제	도전	6.75
크기	두각	5.31
국가	시민	7.31
행성	사람들	5.75
개발	이슈	3.97
경험	음악	3.47
음악	프로젝트	3.63
유리	금속	5.56
알루미늄	금속	7.83
기회	신용	3.88
전시회	기념품	5.31
콘서트	거장	6.81
락	재즈	7.59
박물관	영화관	7.19
관찰	구조	4.38
우주	세계	6.53
보존	세계	6.19
입장	티켓	7.69
소나기	태풍	6.31
소나기	홍수	6.03
날씨	예보	8.34
재난	지역	6.25
도지사	사무실	6.34
건축	세기	3.78